StreamID,PTS,T_decode
0,0,2052
1,0,2053
0,20,2072
1,20,2073
0,40,2092
1,40,2093
0,60,2112
1,60,2113
0,80,2132
1,80,2133
0,100,2152
1,100,2153
0,120,2172
1,120,2173
0,140,2192
1,140,2193
0,160,2212
1,160,2213
0,180,2232
1,180,2233
0,200,2252
1,200,2253
0,220,2272
1,220,2273
0,240,2292
1,240,2293
0,260,2312
1,260,2313
0,280,2332
1,280,2333
0,300,2352
1,300,2353
0,320,2372
1,320,2373
0,340,2392
1,340,2393
0,360,2412
1,360,2413
0,380,2432
1,380,2433
0,400,2452
1,400,2453
0,420,2472
1,420,2473
0,440,2492
1,440,2493
0,460,2512
1,460,2513
0,480,2532
1,480,2533
0,500,2552
1,500,2553
0,520,2572
1,520,2573
0,540,2592
1,540,2593
0,560,2612
1,560,2613
0,580,2632
1,580,2633
0,600,2652
1,600,2653
0,620,2672
1,620,2673
0,640,2692
1,640,2693
0,660,2712
1,660,2713
0,680,2732
1,680,2733
0,700,2752
1,700,2753
0,720,2772
1,720,2773
0,740,2792
1,740,2793
0,760,2812
1,760,2813
0,780,2832
1,780,2833
0,800,2852
1,800,2853
0,820,2872
1,820,2873
0,840,2892
1,840,2893
0,860,2912
1,860,2913
0,880,2932
1,880,2933
0,900,2952
1,900,2953
0,920,2972
1,920,2973
0,940,2992
1,940,2993
0,960,3012
1,960,3013
0,980,3032
1,980,3033
